Vendor Name: Alabama Crown Distributing Co. 
Client Number: 010027958
Invoice Number: B1322

Product Name | UPC | QTY | Price per Case
Sooml Bota Minis Chardonnay | 82242013314 | 12 | 40.80
Sooml Bota.Minis Pinot Grigio | 83820104011 | 12 | 40.80
Business Draet | 728900001184 | 12 | 31.96
Heineken LGR | 72890006684 | 12 | 33.56
Heineken Silver | 789000249 | 12 | 33.56
Bolyte Berry Hydration | 867693000249 | 12 | 29.60
Bolyte Citrus | 8676930002012 | 12 | 28.20
Bolyte Melon | 867693000287 | 12 | 29.60
Bolyte Tropical Hydration | 867693000263 | 12 | 28.20
Buzzballz | 1100497278 | 24 | 57.35
 Hillers Buzzballz | 1100497228 | 24 | 57.36 

Total Value: 436.00
